id,streetName,buildingNumber,city,zipcode,country,countyCode,latitude,longitude
1,Denesik Plains,65877,East Luna,23427-7837,Cameroon,MC,48.216769,-137.274055
2,Purdy Light,1347,Goodwinchester,16629,Latvia,FI,47.157149,-163.189091
3,Adelle Brook,572,East Kameron,61185-4616,Zambia,MC,-20.387935,78.686543
4,Windler Springs,67263,Ahmadmouth,25624,Zimbabwe,SB,12.668290,71.883075
5,Legros Crest,3686,Gloverberg,49914,Oman,TT,80.092835,-63.633885
6,Zemlak Bypass,46019,Rosenbaumchester,29867,Cyprus,TT,-64.838101,160.774237
7,Marina Heights,995,North Nola,10579,Cote d'Ivoire,BY,8.504868,-177.838415
8,Khalid Ports,821,Lake Joshuahborough,99998-7152,Serbia,SM,-85.284634,-14.553987
9,Edna Dale,5886,Port Marilyneview,32539-3299,Egypt,LI,-22.786534,3.718346
10,Carroll Junction,56296,South Uriah,08394-5113,Central African Republic,RS,41.941614,-32.929505
11,Rosendo Alley,4177,Powlowskimouth,41737-0042,United States Virgin Islands,LT,-87.510500,5.444457
12,Schimmel Garden,468,Sauerhaven,78769-9514,Saudi Arabia,EE,-48.042876,-152.984069
13,Boehm Cape,21239,Willmshaven,57737-8332,Costa Rica,DO,71.905060,31.437737
14,Albina Lodge,67570,New Toyburgh,47960,Gambia,SN,48.130058,-163.355551
15,Janiya River,915,North Tad,51987,Bosnia and Herzegovina,IQ,78.564521,113.697712
16,Runte Roads,1805,O'Connerland,85312,Heard Island and McDonald Islands,WF,-21.703360,-36.797252
17,Lois Shore,8669,D'Amoremouth,57562,Micronesia,MN,-42.254566,80.455693
18,O'Kon Stravenue,880,West Tyshawn,12044-5622,Wallis and Futuna,AD,-75.004982,85.244208
19,Heaney Prairie,476,North Howardburgh,78710-0587,Denmark,RU,-87.538728,93.985680
20,Maggio Estates,1838,North Laverne,46978,Western Sahara,DO,85.981660,-72.179220
21,Norene Hollow,659,East Keanu,62219,Kenya,SJ,-73.338890,-165.456767
22,Elissa Plains,2808,Port Kristyton,64567-4321,Mali,VA,47.215101,-54.397797
23,Walter Fort,86123,Rosenbaummouth,48788-2816,Malaysia,SD,-87.201143,-48.872287
